subject,state,file
1869920170609,5,28.csv
0179520170504,2,49.csv
2175820170609,3,14.csv
0179520170504,2,7.csv
0179520170504,4,3.csv
1869920170609,2,31.csv
2175820170609,3,29.csv
5575520170711,3,14.csv
1869920170609,5,9.csv
5575520170711,5,38.csv
2175820170609,2,4.csv
6469920170608,5,36.csv
2175820170609,1,2.csv
1869920170609,3,21.csv
2175820170609,1,49.csv
5575520170711,4,10.csv
0179520170504,2,41.csv
5575520170713,3,37.csv
6469920170608,2,5.csv
5575520170711,3,42.csv
2175820170609,5,14.csv
1869920170609,2,2.csv
2175820170609,1,11.csv
5575520170711,4,38.csv
0179520170504,2,38.csv
1869920170609,5,51.csv
5575520170713,2,10.csv
2175820170609,3,48.csv
6469920170608,2,21.csv
2175820170609,4,21.csv
1869920170609,1,26.csv
1869920170609,2,30.csv
5575520170711,5,28.csv
2175820170609,2,22.csv
2175820170609,2,38.csv
0179520170504,3,19.csv
2175820170609,4,38.csv
5575520170711,3,26.csv
5575520170711,4,8.csv
0179520170504,3,17.csv
1869920170609,5,24.csv
1869920170609,3,50.csv
1869920170609,3,49.csv
5575520170713,3,52.csv
6469920170608,2,49.csv
1869920170609,2,43.csv
1869920170609,3,30.csv
2175820170609,4,6.csv
5575520170711,4,21.csv
5575520170713,2,26.csv
5575520170711,3,1.csv
5575520170711,3,38.csv
1869920170609,5,4.csv
2175820170609,2,32.csv
1869920170609,2,3.csv
5575520170711,5,31.csv
0179520170504,4,40.csv
0179520170504,4,47.csv
0179520170504,3,23.csv
1869920170609,3,33.csv
1869920170609,2,22.csv
0179520170504,3,24.csv
6469920170608,1,37.csv
1869920170609,1,29.csv
5575520170711,5,39.csv
1869920170609,4,8.csv
6469920170608,2,40.csv
6469920170608,4,30.csv
6469920170608,4,21.csv
1869920170609,4,32.csv
0179520170504,5,13.csv
2175820170609,1,8.csv
2175820170609,5,9.csv
1869920170609,4,21.csv
5575520170713,5,13.csv
0179520170504,3,8.csv
1869920170609,1,52.csv
0179520170504,5,7.csv
5575520170711,5,20.csv
1869920170609,2,26.csv
6469920170608,2,39.csv
5575520170713,5,32.csv
6469920170608,3,44.csv
2175820170609,1,50.csv
5575520170713,3,41.csv
6469920170608,5,16.csv
2175820170609,2,28.csv
5575520170711,4,46.csv
6469920170608,5,21.csv
2175820170609,5,49.csv
6469920170608,3,18.csv
1869920170609,5,5.csv
5575520170711,4,40.csv
1869920170609,2,20.csv
5575520170713,5,21.csv
0179520170504,2,47.csv
0179520170504,2,25.csv
5575520170711,4,44.csv
5575520170713,2,19.csv
5575520170711,3,50.csv
5575520170713,5,23.csv
2175820170609,4,33.csv
6469920170608,1,19.csv
6469920170608,3,6.csv
1869920170609,5,40.csv
5575520170713,5,15.csv
5575520170711,4,29.csv
5575520170713,5,47.csv
6469920170608,5,26.csv
0179520170504,3,46.csv
5575520170711,3,10.csv
6469920170608,5,45.csv
5575520170711,3,33.csv
0179520170504,4,32.csv
2175820170609,5,32.csv
5575520170713,5,29.csv
6469920170608,5,28.csv
0179520170504,3,40.csv
6469920170608,3,34.csv
2175820170609,3,37.csv
0179520170504,5,22.csv
5575520170713,5,31.csv
5575520170713,2,5.csv
6469920170608,2,46.csv
6469920170608,3,17.csv
1869920170609,2,44.csv
0179520170504,5,46.csv
2175820170609,5,27.csv
2175820170609,3,45.csv
0179520170504,5,37.csv
0179520170504,3,10.csv
5575520170711,3,37.csv
0179520170504,3,4.csv
5575520170713,3,36.csv
2175820170609,5,2.csv
6469920170608,3,9.csv
6469920170608,5,48.csv
6469920170608,5,5.csv
6469920170608,5,17.csv
5575520170713,2,42.csv
1869920170609,4,30.csv
2175820170609,1,30.csv
2175820170609,2,14.csv
0179520170504,4,35.csv
1869920170609,2,11.csv
5575520170711,3,24.csv
5575520170711,3,9.csv
1869920170609,3,11.csv
0179520170504,3,49.csv
5575520170713,2,29.csv
6469920170608,1,33.csv
2175820170609,2,24.csv
2175820170609,2,48.csv
0179520170504,5,8.csv
0179520170504,3,43.csv
5575520170713,3,26.csv
0179520170504,2,48.csv
1869920170609,4,11.csv
0179520170504,3,26.csv
2175820170609,1,4.csv
6469920170608,4,10.csv
1869920170609,5,35.csv
6469920170608,3,37.csv
0179520170504,5,21.csv
5575520170713,3,28.csv
0179520170504,5,43.csv
2175820170609,2,1.csv
5575520170713,5,36.csv
1869920170609,4,42.csv
6469920170608,3,51.csv
5575520170711,4,30.csv
5575520170711,4,51.csv
0179520170504,1,26.csv
5575520170713,3,10.csv
5575520170711,5,8.csv
2175820170609,2,34.csv
1869920170609,5,39.csv
1869920170609,3,36.csv
6469920170608,5,18.csv
6469920170608,5,29.csv
5575520170711,4,16.csv
5575520170711,5,49.csv
6469920170608,4,34.csv
2175820170609,1,12.csv
2175820170609,4,36.csv
1869920170609,4,41.csv
2175820170609,1,32.csv
1869920170609,2,40.csv
0179520170504,1,7.csv
0179520170504,3,29.csv
6469920170608,2,2.csv
0179520170504,3,14.csv
0179520170504,3,47.csv
2175820170609,1,20.csv
1869920170609,4,4.csv
0179520170504,5,45.csv
6469920170608,1,32.csv
1869920170609,1,2.csv
1869920170609,1,41.csv
5575520170711,5,41.csv
6469920170608,4,48.csv
2175820170609,2,30.csv
5575520170713,2,50.csv
6469920170608,3,7.csv
0179520170504,4,50.csv
6469920170608,3,52.csv
5575520170711,4,15.csv
6469920170608,4,11.csv
5575520170711,5,37.csv
0179520170504,1,33.csv
5575520170711,3,22.csv
5575520170713,3,18.csv
2175820170609,4,3.csv
1869920170609,5,6.csv
1869920170609,4,28.csv
6469920170608,1,6.csv
5575520170713,5,9.csv
6469920170608,2,29.csv
6469920170608,4,32.csv
5575520170713,2,2.csv
0179520170504,1,42.csv
5575520170711,4,31.csv
0179520170504,3,31.csv
5575520170713,3,21.csv
5575520170711,3,5.csv
6469920170608,1,36.csv
2175820170609,4,7.csv
5575520170713,2,34.csv
2175820170609,2,18.csv
0179520170504,5,1.csv
5575520170713,2,27.csv
2175820170609,1,16.csv
2175820170609,2,52.csv
6469920170608,4,6.csv
5575520170711,5,30.csv
1869920170609,2,1.csv
1869920170609,2,13.csv
0179520170504,1,34.csv
5575520170713,2,22.csv
2175820170609,1,24.csv
0179520170504,2,45.csv
6469920170608,3,39.csv
6469920170608,1,13.csv
5575520170713,5,34.csv
6469920170608,2,24.csv
5575520170711,3,45.csv
1869920170609,4,1.csv
1869920170609,3,6.csv
0179520170504,2,30.csv
2175820170609,1,15.csv
2175820170609,4,35.csv
6469920170608,3,48.csv
6469920170608,2,7.csv
6469920170608,5,23.csv
2175820170609,5,5.csv
2175820170609,2,10.csv
2175820170609,2,19.csv
1869920170609,1,1.csv
6469920170608,1,43.csv
6469920170608,1,8.csv
1869920170609,3,46.csv
2175820170609,3,34.csv
5575520170713,3,38.csv
6469920170608,3,28.csv
1869920170609,1,4.csv
2175820170609,2,44.csv
5575520170713,2,1.csv
0179520170504,4,17.csv
2175820170609,5,4.csv
6469920170608,4,50.csv
2175820170609,1,37.csv
6469920170608,1,27.csv
5575520170711,3,16.csv
1869920170609,5,16.csv
0179520170504,4,16.csv
6469920170608,2,23.csv
0179520170504,4,33.csv
2175820170609,5,37.csv
2175820170609,5,25.csv
0179520170504,1,35.csv
5575520170711,4,12.csv
1869920170609,5,31.csv
2175820170609,3,27.csv
2175820170609,4,42.csv
1869920170609,4,3.csv
1869920170609,2,38.csv
5575520170711,3,52.csv
2175820170609,5,43.csv
1869920170609,4,18.csv
0179520170504,2,40.csv
6469920170608,3,4.csv
5575520170713,5,27.csv
1869920170609,4,27.csv
2175820170609,1,9.csv
0179520170504,4,44.csv
5575520170711,4,52.csv
6469920170608,3,25.csv
1869920170609,2,5.csv
0179520170504,5,20.csv
0179520170504,4,23.csv
0179520170504,3,39.csv
5575520170711,4,35.csv
5575520170711,5,3.csv
5575520170711,4,49.csv
5575520170713,2,4.csv
5575520170713,2,48.csv
0179520170504,5,36.csv
1869920170609,2,18.csv
1869920170609,3,3.csv
0179520170504,2,17.csv
6469920170608,3,26.csv
5575520170711,4,25.csv
1869920170609,4,46.csv
1869920170609,4,43.csv
1869920170609,1,24.csv
1869920170609,5,43.csv
2175820170609,1,29.csv
2175820170609,3,4.csv
1869920170609,2,35.csv
0179520170504,3,16.csv
6469920170608,2,15.csv
2175820170609,3,9.csv
6469920170608,4,38.csv
1869920170609,4,34.csv
0179520170504,1,13.csv
6469920170608,4,3.csv
0179520170504,1,24.csv
5575520170713,2,36.csv
2175820170609,3,19.csv
6469920170608,4,29.csv
6469920170608,2,35.csv
5575520170713,5,2.csv
5575520170713,2,46.csv
5575520170711,5,48.csv
0179520170504,4,8.csv
6469920170608,3,2.csv
5575520170713,3,7.csv
2175820170609,2,27.csv
5575520170713,5,26.csv
6469920170608,3,33.csv
5575520170713,3,29.csv
5575520170713,5,25.csv
1869920170609,2,28.csv
5575520170713,5,33.csv
0179520170504,4,43.csv
2175820170609,3,44.csv
2175820170609,4,4.csv
1869920170609,2,32.csv
5575520170711,5,43.csv
6469920170608,1,24.csv
1869920170609,2,19.csv
5575520170713,5,5.csv
5575520170713,3,16.csv
2175820170609,2,3.csv
1869920170609,4,2.csv
6469920170608,2,16.csv
5575520170713,3,17.csv
1869920170609,4,22.csv
0179520170504,5,4.csv
6469920170608,1,18.csv
0179520170504,5,49.csv
2175820170609,2,7.csv
0179520170504,4,41.csv
5575520170711,5,11.csv
0179520170504,3,25.csv
5575520170713,5,30.csv
5575520170711,3,18.csv
5575520170713,3,45.csv
1869920170609,1,27.csv
5575520170711,5,40.csv
2175820170609,4,31.csv
5575520170711,4,7.csv
6469920170608,5,27.csv
6469920170608,4,17.csv
1869920170609,1,45.csv
5575520170713,3,23.csv
0179520170504,5,50.csv
6469920170608,5,10.csv
5575520170711,3,23.csv
5575520170711,4,1.csv
5575520170711,4,50.csv
0179520170504,4,39.csv
6469920170608,2,48.csv
0179520170504,4,48.csv
2175820170609,4,51.csv
5575520170713,3,42.csv
2175820170609,3,51.csv
1869920170609,3,35.csv
6469920170608,5,32.csv
0179520170504,5,2.csv
0179520170504,3,13.csv
0179520170504,3,38.csv
2175820170609,1,46.csv
5575520170713,3,32.csv
1869920170609,4,29.csv
5575520170713,5,43.csv
6469920170608,1,30.csv
5575520170713,2,33.csv
6469920170608,4,7.csv
5575520170711,5,9.csv
1869920170609,2,37.csv
1869920170609,4,39.csv
0179520170504,1,28.csv
5575520170711,4,28.csv
0179520170504,3,18.csv
0179520170504,2,36.csv
1869920170609,5,15.csv
6469920170608,2,51.csv
0179520170504,3,12.csv
2175820170609,3,30.csv
5575520170711,5,33.csv
6469920170608,4,8.csv
5575520170711,5,5.csv
2175820170609,4,12.csv
5575520170713,5,48.csv
5575520170711,3,15.csv
2175820170609,1,18.csv
6469920170608,4,26.csv
6469920170608,5,8.csv
5575520170711,4,9.csv
2175820170609,5,6.csv
5575520170713,5,3.csv
2175820170609,5,21.csv
5575520170711,3,27.csv
2175820170609,1,33.csv
0179520170504,1,36.csv
2175820170609,1,7.csv
0179520170504,5,16.csv
1869920170609,5,26.csv
5575520170711,3,48.csv
1869920170609,4,10.csv
0179520170504,3,51.csv
0179520170504,1,5.csv
1869920170609,5,38.csv
6469920170608,1,42.csv
6469920170608,5,1.csv
0179520170504,2,1.csv
2175820170609,4,29.csv
2175820170609,5,52.csv
2175820170609,1,45.csv
5575520170711,3,4.csv
2175820170609,1,47.csv
5575520170711,4,11.csv
0179520170504,1,6.csv
1869920170609,5,44.csv
5575520170711,3,31.csv
2175820170609,5,20.csv
6469920170608,2,47.csv
0179520170504,2,12.csv
5575520170711,4,27.csv
2175820170609,5,28.csv
6469920170608,2,22.csv
2175820170609,2,29.csv
6469920170608,1,31.csv
5575520170713,3,25.csv
1869920170609,3,31.csv
5575520170713,3,40.csv
0179520170504,3,33.csv
6469920170608,3,10.csv
1869920170609,3,13.csv
0179520170504,5,34.csv
5575520170711,3,21.csv
0179520170504,4,9.csv
6469920170608,1,52.csv
1869920170609,2,8.csv
0179520170504,4,6.csv
1869920170609,1,50.csv
0179520170504,3,9.csv
6469920170608,4,33.csv
1869920170609,4,16.csv
2175820170609,1,5.csv
0179520170504,5,47.csv
6469920170608,5,43.csv
6469920170608,1,15.csv
5575520170713,5,51.csv
2175820170609,5,45.csv
5575520170711,5,16.csv
6469920170608,3,40.csv
1869920170609,5,37.csv
2175820170609,1,35.csv
1869920170609,5,7.csv
0179520170504,3,1.csv
2175820170609,3,43.csv
0179520170504,3,35.csv
5575520170713,3,9.csv
6469920170608,3,38.csv
0179520170504,4,7.csv
1869920170609,5,36.csv
0179520170504,3,42.csv
1869920170609,3,40.csv
5575520170711,4,14.csv
1869920170609,3,52.csv
5575520170711,5,50.csv
0179520170504,1,3.csv
5575520170713,2,17.csv
0179520170504,2,5.csv
2175820170609,1,23.csv
1869920170609,3,39.csv
2175820170609,5,18.csv
6469920170608,5,42.csv
0179520170504,2,13.csv
