ind,path,state
01,2/dados_01_state2.txt,2
24,6/dados_24_state2.txt,2
30,6/dados_30_state4.txt,4
33,5/dados_33_state4.txt,4
28,6/dados_28_state2.txt,2
28,4/dados_28_state5.txt,5
34,6/dados_34_state2.txt,2
16,5/dados_16_state3.txt,3
36,6/dados_36_state2.txt,2
06,2/dados_06_state5.txt,5
34,4/dados_34_state4.txt,4
03,7/dados_03_state2.txt,2
01,7/dados_01_state4.txt,4
10,7/dados_10_state5.txt,5
33,5/dados_33_state5.txt,5
23,3/dados_23_state3.txt,3
22,1/dados_22_state3.txt,3
03,5/dados_03_state3.txt,3
22,1/dados_22_state1.txt,1
28,6/dados_28_state5.txt,5
17,2/dados_17_state5.txt,5
11,4/dados_11_state1.txt,1
01,3/dados_01_state3.txt,3
30,1/dados_30_state2.txt,2
21,5/dados_21_state1.txt,1
35,2/dados_35_state5.txt,5
23,2/dados_23_state3.txt,3
08,3/dados_08_state2.txt,2
25,2/dados_25_state4.txt,4
17,5/dados_17_state2.txt,2
16,7/dados_16_state2.txt,2
33,1/dados_33_state3.txt,3
08,2/dados_08_state2.txt,2
05,4/dados_05_state3.txt,3
11,7/dados_11_state4.txt,4
17,5/dados_17_state5.txt,5
26,2/dados_26_state5.txt,5
15,6/dados_15_state1.txt,1
12,2/dados_12_state2.txt,2
13,1/dados_13_state2.txt,2
08,2/dados_08_state4.txt,4
03,2/dados_03_state4.txt,4
34,7/dados_34_state3.txt,3
33,4/dados_33_state1.txt,1
32,4/dados_32_state3.txt,3
08,2/dados_08_state1.txt,1
20,3/dados_20_state4.txt,4
24,4/dados_24_state1.txt,1
21,2/dados_21_state1.txt,1
22,4/dados_22_state4.txt,4
30,2/dados_30_state3.txt,3
19,5/dados_19_state4.txt,4
12,1/dados_12_state1.txt,1
36,3/dados_36_state5.txt,5
18,1/dados_18_state1.txt,1
33,1/dados_33_state2.txt,2
17,7/dados_17_state4.txt,4
28,7/dados_28_state2.txt,2
31,1/dados_31_state4.txt,4
19,7/dados_19_state1.txt,1
29,6/dados_29_state1.txt,1
14,3/dados_14_state1.txt,1
11,4/dados_11_state4.txt,4
35,6/dados_35_state1.txt,1
06,2/dados_06_state2.txt,2
06,6/dados_06_state5.txt,5
27,1/dados_27_state2.txt,2
13,6/dados_13_state2.txt,2
31,4/dados_31_state3.txt,3
13,5/dados_13_state4.txt,4
25,3/dados_25_state1.txt,1
02,5/dados_02_state4.txt,4
10,2/dados_10_state1.txt,1
35,4/dados_35_state5.txt,5
21,6/dados_21_state5.txt,5
20,7/dados_20_state2.txt,2
26,3/dados_26_state1.txt,1
01,1/dados_01_state2.txt,2
33,1/dados_33_state1.txt,1
09,7/dados_09_state4.txt,4
05,5/dados_05_state2.txt,2
25,4/dados_25_state2.txt,2
12,2/dados_12_state5.txt,5
01,6/dados_01_state1.txt,1
32,5/dados_32_state5.txt,5
32,2/dados_32_state3.txt,3
08,6/dados_08_state2.txt,2
23,4/dados_23_state4.txt,4
34,3/dados_34_state4.txt,4
11,7/dados_11_state2.txt,2
36,7/dados_36_state2.txt,2
04,6/dados_04_state3.txt,3
19,5/dados_19_state1.txt,1
32,6/dados_32_state1.txt,1
17,3/dados_17_state4.txt,4
11,1/dados_11_state2.txt,2
12,3/dados_12_state2.txt,2
25,2/dados_25_state2.txt,2
07,5/dados_07_state3.txt,3
20,4/dados_20_state2.txt,2
29,6/dados_29_state5.txt,5
06,3/dados_06_state2.txt,2
25,1/dados_25_state3.txt,3
35,7/dados_35_state2.txt,2
05,3/dados_05_state2.txt,2
09,6/dados_09_state5.txt,5
21,2/dados_21_state3.txt,3
20,1/dados_20_state2.txt,2
09,2/dados_09_state5.txt,5
21,7/dados_21_state4.txt,4
17,4/dados_17_state1.txt,1
18,2/dados_18_state4.txt,4
30,4/dados_30_state1.txt,1
24,6/dados_24_state1.txt,1
02,3/dados_02_state3.txt,3
32,3/dados_32_state5.txt,5
32,5/dados_32_state1.txt,1
32,4/dados_32_state1.txt,1
23,5/dados_23_state5.txt,5
32,5/dados_32_state3.txt,3
28,4/dados_28_state1.txt,1
36,5/dados_36_state1.txt,1
19,6/dados_19_state4.txt,4
26,5/dados_26_state2.txt,2
15,7/dados_15_state4.txt,4
06,6/dados_06_state3.txt,3
03,4/dados_03_state5.txt,5
21,6/dados_21_state2.txt,2
20,6/dados_20_state2.txt,2
11,5/dados_11_state3.txt,3
05,3/dados_05_state4.txt,4
20,3/dados_20_state2.txt,2
26,3/dados_26_state2.txt,2
12,7/dados_12_state3.txt,3
08,3/dados_08_state4.txt,4
08,6/dados_08_state3.txt,3
17,6/dados_17_state4.txt,4
31,5/dados_31_state2.txt,2
29,2/dados_29_state1.txt,1
08,6/dados_08_state1.txt,1
28,1/dados_28_state2.txt,2
21,3/dados_21_state5.txt,5
35,2/dados_35_state2.txt,2
22,4/dados_22_state2.txt,2
03,4/dados_03_state1.txt,1
04,7/dados_04_state1.txt,1
22,5/dados_22_state2.txt,2
17,2/dados_17_state2.txt,2
21,5/dados_21_state4.txt,4
23,7/dados_23_state4.txt,4
28,6/dados_28_state1.txt,1
24,2/dados_24_state5.txt,5
24,1/dados_24_state4.txt,4
03,5/dados_03_state2.txt,2
17,3/dados_17_state3.txt,3
03,7/dados_03_state3.txt,3
31,2/dados_31_state4.txt,4
24,4/dados_24_state3.txt,3
24,1/dados_24_state2.txt,2
18,2/dados_18_state1.txt,1
24,5/dados_24_state5.txt,5
24,5/dados_24_state3.txt,3
11,2/dados_11_state3.txt,3
17,1/dados_17_state3.txt,3
25,1/dados_25_state2.txt,2
