subject,state,path
6469920170608,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\6469920170608\3\309.csv
5575520170713,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\5575520170713\3\232.csv
6469920170608,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\6469920170608\3\282.csv
2175820170609,4,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\2175820170609\4\347.csv
6469920170608,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\6469920170608\2\31.csv
1869920170609,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\1869920170609\3\110.csv
6469920170608,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\6469920170608\5\167.csv
2175820170609,1,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\2175820170609\1\230.csv
0179520170504,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\0179520170504\3\161.csv
1869920170609,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\1869920170609\3\23.csv
2175820170609,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\2175820170609\2\165.csv
2175820170609,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\2175820170609\2\317.csv
1869920170609,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\1869920170609\2\72.csv
0179520170504,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\0179520170504\5\25.csv
5575520170713,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\5575520170713\2\258.csv
0179520170504,4,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\0179520170504\4\141.csv
5575520170713,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\5575520170713\2\352.csv
2175820170609,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\2175820170609\3\228.csv
0179520170504,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\0179520170504\2\121.csv
1869920170609,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\1869920170609\5\140.csv
5575520170713,3,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\5575520170713\3\192.csv
5575520170713,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\5575520170713\2\58.csv
6469920170608,2,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\6469920170608\2\242.csv
5575520170713,5,C:\Users\Patrick\Documents\GitHub\ICDeepLearning\Data\Originais\CCA\128\5575520170713\5\68.csv
